id,userid,nome,tags,created_at,updated_at,tipo
0442a4c8-963f-489f-8402-35f13b9c4aa9,ab8d364a-e1be-4759-8dd8-0f7301afc405,Recompensas,,2025-11-25 04:10:02.082271+00,2025-11-25 04:10:02.082271+00,receita
08f3cb8c-5232-4e40-b1db-13cc4a08b4a4,ab8d364a-e1be-4759-8dd8-0f7301afc405,Farmácia,,2025-11-25 04:09:59.308656+00,2025-11-25 04:09:59.308656+00,despesa
0b0f2cb1-a809-4789-b700-ad9e616f925e,ab8d364a-e1be-4759-8dd8-0f7301afc405,Lazer,,2025-12-28 04:58:29.501219+00,2025-12-28 04:58:29.501219+00,despesa
0d2c6221-a263-4c6d-a722-6ea2c957bffc,ab8d364a-e1be-4759-8dd8-0f7301afc405,Energia,,2025-11-25 04:10:04.168017+00,2025-11-25 04:10:04.168017+00,
11a49676-2a58-46b9-838b-75734f1717a0,ab8d364a-e1be-4759-8dd8-0f7301afc405,pizza,,2025-11-16 01:09:22.037524+00,2025-11-16 01:09:22.037524+00,
181d3abd-9132-468f-b888-1640a4be85b6,ab8d364a-e1be-4759-8dd8-0f7301afc405,Cabeleireiro,,2025-11-14 20:30:54.713125+00,2025-11-14 20:30:54.713125+00,
18cbbf25-6142-4bcf-937d-5927c853ac9a,ab8d364a-e1be-4759-8dd8-0f7301afc405,Saúde,,2025-11-13 03:17:54.145113+00,2025-11-13 03:17:54.145113+00,despesa
1dc7f06c-288f-4447-8cb6-c1bb991235a6,ab8d364a-e1be-4759-8dd8-0f7301afc405,Outros,,2025-11-09 22:16:28.679932+00,2025-11-09 22:16:28.679932+00,despesa
3fe091aa-75ad-43c0-8a19-9032c5b44872,ab8d364a-e1be-4759-8dd8-0f7301afc405,Pet Shop,,2025-11-10 01:03:02.267744+00,2025-11-10 01:03:02.267744+00,
4cc58fa3-3861-46cf-9cf0-d402f65ceadb,ab8d364a-e1be-4759-8dd8-0f7301afc405,Resgate de Investimentos,,2025-11-11 02:23:20.623761+00,2025-11-11 02:23:20.623761+00,
4de35acd-d1dd-4bb3-8aa4-f9330c403c4f,ab8d364a-e1be-4759-8dd8-0f7301afc405,sorvete,,2025-12-10 21:02:09.975089+00,2025-12-10 21:02:09.975089+00,
4e362739-e52c-4861-af97-c8ab908b3871,ab8d364a-e1be-4759-8dd8-0f7301afc405,Mercado,,2025-11-25 04:10:00.418526+00,2025-11-25 04:10:00.418526+00,despesa
56d8ef90-f423-4971-8c88-089befe0cd12,ab8d364a-e1be-4759-8dd8-0f7301afc405,Calçados,,2025-11-10 17:34:52.147845+00,2025-11-10 17:34:52.147845+00,
591cce5b-dd4d-4124-934e-4dcadd17e66d,ab8d364a-e1be-4759-8dd8-0f7301afc405,Assinaturas,,2025-11-25 04:09:57.803233+00,2025-11-25 04:09:57.803233+00,despesa
