id,created_at,quando,estabelecimento,valor,detalhes,tipo,userid,category_id,account_id,status,metodo,fatura_id
3201,2025-12-28 04:58:39.840525+00,06/01/2025,RESGATE CDB,600.3,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3202,2025-12-28 04:58:39.840525+00,06/01/2025,INT IPVA-SPDGY6G95PARC01,-797.26,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,731e5ac5-e383-47e3-a2d8-88549cdfedac,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3203,2025-12-28 04:58:39.840525+00,07/01/2025,RESGATE CDB,450.13,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3204,2025-12-28 04:58:39.840525+00,07/01/2025,PIX TRANSF  TANIA Y07/01,-450,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,18cbbf25-6142-4bcf-937d-5927c853ac9a,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3205,2025-12-28 04:58:39.840525+00,08/01/2025,RESGATE CDB,455.34,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3206,2025-12-28 04:58:39.840525+00,08/01/2025,PIX QRS NETSHOES08/01,-455.99,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,e47eb18a-a8ba-48c0-a91b-a8a69607b6f5,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3207,2025-12-28 04:58:39.840525+00,08/01/2025,RESGATE CDB,100.97,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3208,2025-12-28 04:58:39.840525+00,08/01/2025,PIX TRANSF  SERGIO 08/01,-35,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,f8d483c3-f001-4e7b-8190-8712efad946f,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3209,2025-12-28 04:58:39.840525+00,09/01/2025,RESGATE CDB,5000.38,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3210,2025-12-28 04:58:39.840525+00,09/01/2025,PIX TRANSF  ANDRESS09/01,-5000,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,e47eb18a-a8ba-48c0-a91b-a8a69607b6f5,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3211,2025-12-28 04:58:39.840525+00,10/01/2025,SEGURO CARTAO,-25,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,591cce5b-dd4d-4124-934e-4dcadd17e66d,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3212,2025-12-28 04:58:39.840525+00,13/01/2025,SAQUE BANCO24H618718143,-40,,despesa,ab8d364a-e1be-4759-8dd8-0f7301afc405,62b5839d-37ef-4c03-8762-64b67a6f92d1,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3213,2025-12-28 04:58:39.840525+00,15/01/2025,COR AMORTIZACAO - RF,2.6,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3214,2025-12-28 04:58:39.840525+00,15/01/2025,COR AMORTIZACAO - RF,278.61,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,a6f76f77-dd69-4199-9d99-aa01b2d8b4dd,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
3215,2025-12-28 04:58:39.840525+00,15/01/2025,COR JUROS RF,152.33,,receita,ab8d364a-e1be-4759-8dd8-0f7301afc405,97d6c354-a30d-4904-b648-419a8d50459b,1dd3e6b0-9ae3-4d5b-a56e-da4a7b6c6f08,,,
